startup_name ;Industries;Location;Investor Name;Lead Investor ;Number of Investors;Funding Type ;Month;Day;Year
Nebulon;Cloud Management, Information Technology, SaaS, Software;Fremont, California, United States, North America;Leonis Capital, Steve Norall;—;2;Series B;Jan;1;2021
Inrupt;Information Services, Information Technology, Open Source, Software, Web Development;Boston, Massachusetts, United States, North America;Hearst Communications, Shane Neman;—;2;Series A;Jan;1;2021
RoboTire;Artificial Intelligence (AI), Automotive, Industrial Automation, Machine Learning, Robotics, Software;Plymouth, Michigan, United States, North America;Asymmetry Ventures, Automotive Ventures, Shane Neman;—;3;Series B;Jan;1;2021
Opiniion;Analytics, Consumer Reviews, Customer Service, Property Management, Real Estate, Reputation, SaaS, Software;Lindon, Utah, United States, North America;AIM Ventura Capital, RET Ventures, Scott Frazier, Tamarak Capital;Scott Frazier;4;Series A;Jan;1;2021
AMP;Artificial Intelligence (AI), Machine Learning, Recycling, Robotics, Waste Management;Louisville, Colorado, United States, North America;Closed Loop Partners, Congruent Ventures, GV, Sequoia Capital, Sidewalk Infrastructure Partners, Valor Equity Partners, XN;XN;7;Series B;Jan;4;2021
iboss;Cloud Computing, Cyber Security, Network Security, SaaS, Security, Software;Boston, Massachusetts, United States, North America;Francisco Partners, NightDragon;Francisco Partners, NightDragon;2;Series B;jan;5;2021
Chronosphere;Analytics, Cloud Infrastructure, DevOps, Information Technology, Productivity Tools, SaaS;New York, New York, United States, North America;General Atlantic, Greylock, Lee Fixel, Lux Capital;Greylock, Lee Fixel, Lux Capital;4;Series B;Jan;5;2021
MaxOne;Apps, SaaS, Sports;Grand Rapids, Michigan, United States, North America;Ocean Azul Partners, Stadia Ventures, Wakestream Ventures;Stadia Ventures;3;Series A;Jan;7;2021
Voxie;Advertising, Artificial Intelligence (AI), Machine Learning, Marketing, Messaging;Sanford, North Carolina, United States, North America;Andy Powell, Circadian Ventures, David Cummings, Engage, Fred Castellucci, Kevin McCarthy, Noro-Moseley Partners, Tech Square Ventures, Wain Kellum, Weatherby Partners;Noro-Moseley Partners;10;Series A;Jan;7;2021
Carpay;Financial Services, FinTech, Lending, Mobile Payments, Payments, SaaS, Software;Santa Monica, California, United States, North America;Amplify.LA, Autotech Ventures, FJ Labs, Pipeline Capital, Social Leverage;Autotech Ventures;5;Series A;Jan;7;2021
Quantum Metric;Analytics, Information Technology, Mobile Apps, SaaS, Software;Colorado Springs, Colorado, United States, North America;Bossa Invest, Endeavor Catalyst, Insight Partners, NextGen Venture Partners, Uncorrelated Ventures;Insight Partners;5;Series B;Jan;7;2021
Quantive;Business Intelligence, Enterprise Software, Human Resources, SaaS;Denver, Colorado, United States, North America;CRV, Insight Partners, LAUNCHub Ventures, Singular;Insight Partners;4;Series B;Jan;7;2021
Gro Intelligence;Agriculture, Artificial Intelligence (AI), Big Data, Data Visualization, Information Technology, SaaS;New York, New York, United States, North America;Africa Internet Holding, Bossa Invest, Charles and Lynn Schusterman Family Philanthropies, DCVC, Dick Parsons, EchoVC Partners, Eric Zinterhofer, Intel Capital, Notable Capital, Rethink Food, Ronald Lauder, TPG Growth;Africa Internet Holding, Intel Capital;12;Series B;Jan;8;2021
VComply;Compliance, Enterprise Software, Information Technology, Risk Management, SaaS, Software;Sunnyvale, California, United States, North America;Accel, Counterpart Ventures;Accel, Counterpart Ventures;2;Series A ;jan;12;2021
Nacelle;E-Commerce, Information Technology, SaaS;Los Angeles, California, United States, North America;Accomplice, High Alpha, Index Ventures, Inovia Capital, Lerer Hippeau, Ron Pragides, Silas Capital;Inovia Capital;7;Series A;Jan;12;2021
airSlate;Business Process Automation (BPA), Document Management, Management Information Systems, Productivity Tools, SaaS, Software;Brookline, Massachusetts, United States, North America;General Catalyst, HighSage Ventures, Morgan Stanley Expansion Capital;Morgan Stanley Expansion Capital;3;Series B;Jan;12;2021
FeatureBase;Analytics, Big Data, Data Integration, SaaS;Austin, Texas, United States, North America;Drive Capital, Tensility Venture Partners, TTV Capital;Drive Capital;3;Series A;Jan;13;2021
Stacklet;Cloud Computing, Cloud Data Services, Cloud Management;Arlington, Virginia, United States, North America;Addition, Foundation Capital, Liam Randall;Addition;3;Series A;Jan;13;2021
Incremental;Advertising Platforms, Artificial Intelligence (AI), E-Commerce, Machine Learning, Software;Baltimore, Maryland, United States, North America;Allen & Company, Construct Capital, SignalFire, The Emerson Group, Verissimo Ventures;SignalFire;5;Series A;Jan;13;2021
Bryte;Artificial Intelligence (AI), Consumer Electronics, Machine Learning, Product Design;Los Altos, California, United States, North America;ARCHina Capital Partners, David Mooring, Evolution VC Partners, Leblon Capital, Sand Hill Angels;ARCHina Capital Partners;5;Series A;Jan;13;2021
DecisionLink;B2B, Information Technology, SaaS, Software;Atlanta, Georgia, United States, North America;Accel, George Kurtz, George Roberts;Accel;3;Series A;Jan;14;2021
Podchaser;Advertising Platforms, Analytics, Audio, Big Data, Data Visualization, Database, Internet Radio, Podcast, Search Engine, Social Network;Oklahoma City, Oklahoma, United States, North America;Advancit Capital, AJ Bruno, Greycroft, High Alpha, Hyde Park Venture Partners, LightShed Ventures, Marshall Williams, Mike LaSalle, Poplar Ventures, Powerhouse Capital;Greycroft;10;Series A;Jan;14;2021
Mosaic.tech;Analytics, Artificial Intelligence (AI), B2B, Big Data, FinTech, Machine Learning, SaaS, Software;San Diego, California, United States, North America;Felicis, Fifth Down Capital, Friends & Family Capital, General Catalyst, Village Global;General Catalyst;5;Series A;Jan;14;2021
RecVue;Billing, Cloud Computing, Enterprise Software, SaaS;Palo Alto, California, United States, North America;Cota Capital, EPIC Ventures, Long Light Capital;Cota Capital;3;Series A;Jan;14;2021
ThreeFlow;Employee Benefits, Enterprise Software, Insurance, InsurTech, Software;Chicago, Illinois, United States, North America;Emergence Capital, Equal Ventures, First Trust Capital Partners;Emergence Capital;3;Series A;Jan;14;2021
Lumiata;Artificial Intelligence (AI), Health Care, Machine Learning, Predictive Analytics, Risk Management;Mclean, Virginia, United States, North America;Allegis Capital, Castor Ventures, Defy.vc, Khosla Ventures;Allegis Capital, Defy.vc;4;Series A;Jan;14;2021
alwaysAI;Artificial Intelligence (AI), Computer Vision, Data Integration, Developer Platform, Machine Learning;Cardiff By The Sea, California, United States, North America;BlueRun Ventures, H. Barton Co-Invest Fund, Longley Capital, Marty Beard, Validus Growth Investors;BlueRun Ventures;5;Series A;Jan;15;2021
Transform;Analytics, Big Data, Data Integration, Data Visualization;San Francisco, California, United States, North America;BoxGroup, Brianne Kimmel, C. S., Cristina Cordova, Fareed Mosavat, Fathom Capital, Gokul Rajaram, Index Ventures, Jason Warner, Jay Simons, Jean-Denis Greze, Kenny Van Zant, Lenny Rachitsky, Nat Friedman, Octave, Olivier Pomel, Redpoint, Stephanie Schatz, Worklife;Index Ventures, Redpoint;19;Series A;Jan;19;2021
Metropolis;Artificial Intelligence (AI), Computer Vision, Machine Learning, Parking, Software;New York, New York, United States, North America;01 Advisors, 3L Capital, Baron Davis, DivcoWest, Dragoneer Investment Group, Gideon Hixon Fund, Halogen Ventures, RXR Realty, Slow Ventures, Starwood Capital Group;3L Capital;10;Series A;Jan;19;2021
Trovata;Enterprise Software, Financial Services, FinTech, Software;San Diego, California, United States, North America;Capital One Ventures, FINTOP Capital, JP Morgan, Pivot Investment Partners, Wells Fargo Strategic Capital;Wells Fargo Strategic Capital;5;Series A;Jan;19;2021
AlphaICs;Artificial Intelligence (AI), Cloud Computing, Computer, Semiconductor;Milpitas, California, United States, North America;3one4 Capital, Brookstone Venture Capital, Canal Ventures, CBC Group, Emerald Technology Ventures, Endiya Partners, IREON Ventures, JSR, Rebright Partners, StartupXseed Ventures, Whiteboard Capital;Emerald Technology Ventures, Endiya Partners;11;Series B;Jan;20;2021
TraceAir;Analytics, Cloud Computing, Construction, Drones, Software;Redwood City, California, United States, North America;Andrew Filev, ENGEO, GEM Capital, GPS Ventures GmbH, Independent Construction Co, Liquid 2 Ventures, Metropolis VC, XTX Ventures;"
XTX Ventures";8;Series A;Jan;20;2021
Valtix;Cloud Security, Cyber Security, DevOps, Network Security, SaaS;Santa Clara, California, United States, North America;Cisco Investments, Northgate Capital, The Syndicate Group, Trinity Ventures, Vertex Ventures, Wing Venture Capital;Cisco Investments, Northgate Capital;6;Series A;Jan;21;2021
PCMI Corporation;Computer, Information Technology, Risk Management, SaaS, Software;Park Ridge, Illinois, United States, North America;Equality Asset Management, First Analysis;—;2;Series A;Jan;25;2021
Ocient;Analytics, Big Data, Computer, Database;Chicago, Illinois, United States, North America;Alumni Ventures, Castor Ventures, Gaingels, Greycroft, HPA (Hyde Park Angels), Illinois Ventures, Massachusetts Institute of Technology, Northwestern University, OCA Ventures, Pritzker Group Venture Capital, PSP Capital Partners, TechNexus Venture Collaborative, Valor Equity Partners, VCapital;Greycroft, OCA Ventures;14;Series B;Jan;25;2021
Nfinite;3D Technology, Artificial Intelligence (AI), E-Commerce, Generative AI, Retail Technology, SaaS, Software;New York, New York, United States, North America;Insight Partners, U.S. Venture Partners;Insight Partners;2;Series A;jan;26;2021
Calendly;Collaboration, Enterprise Software, Meeting Software, Productivity Tools, Scheduling, Software;Atlanta, Georgia, United States, North America;ICONIQ Capital, ICONIQ Growth, OpenView;OpenView;3;Series B;Jan;26;2021
SetSail;Artificial Intelligence (AI), Machine Learning, SaaS, Sales Automation;San Mateo, California, United States, North America;"
Insight Partners, Neythri Futures Fund, Operator Collective, Team8 Capital, Wing Venture Capital";Insight Partners;5;Series A;Jan;26;2021
Nucleus Security;Cyber Security, Information Technology, Network Security, Risk Management, SaaS;Sarasota, Florida, United States, North America;Arthur Ventures, Lead Edge Capital;Lead Edge Capital;2;Series B;jan;27;2021
Check;Artificial Intelligence (AI), CRM, Health Care, Medical Device, Mobile, Software;New York, New York, United States, North America;Stripe, Thrive Capital;Stripe, Thrive Capital;2;Series B;Jan;27;2021
Lynk;Apps, Career Planning, Communities, Freelance, Human Resources, Information Technology, Knowledge Management, Professional Networking, SaaS;New York, New York, United States, North America;Alibaba Entrepreneurs Fund, Brewer Lane Ventures, MassMutual Ventures;Brewer Lane Ventures, MassMutual Ventures;3;Series B;Jan;27;2021
Verusen;Artificial Intelligence (AI), Machine Learning, Software, Supply Chain Management;Atlanta, Georgia, United States, North America;BMW i Ventures, Engage, Flyover Capital, Forté Ventures, Glasswing Ventures, Kubera Venture Capital, Tech Square Ventures, Zetta Venture Partners;Flyover Capital, Forté Ventures;8;Series A;Jan;28;2021
AppOnboard;Data Visualization, Developer APIs, Developer Platform, Developer Tools, Software;Los Angeles, California, United States, North America;BLN Capital, Gaingels, Galaxy Venture Capital, LVP, Manta Ray Ventures, Raine Ventures;_;6;Series B;Jan;28;2021
Physna;3D Technology, Machine Learning, Software;Columbus, Ohio, United States, North America;Drive Capital, Next Play Ventures, Sequoia Capital;"
Sequoia Capital";3;Series B;Jan;29;2021
Weights & Biases;Artificial Intelligence (AI), Data Visualization, Developer Tools, Generative AI, Machine Learning;San Francisco, California, United States, North America;Bloomberg Beta, Coatue, Insight Partners, Jeff Hammerbacher, Nat Friedman, Pieter Abbeel, Richard Socher, Tom Preston-Werner, Trinity Ventures;Insight Partners;9;Series B;Feb;1;2021
Genoox;Artificial Intelligence (AI), Cloud Data Services, Genetics, Health Care, Health Diagnostics, Intelligent Systems, Machine Learning, Personal Health, Software;Palo Alto, California, United States, North America;Glilot Capital Partners, IN Venture, Infinity Medical, Inimiti, Triventures;IN Venture;5;Series B;Feb;1;2021
Polly;Enterprise Software, Fleet Management, Insurance;Williston, Vermont, United States, North America;3L Capital, Hudson Structured Capital Management;3L Capital, Hudson Structured Capital Management;2;Series A;feb;2;2021
Oyster;Employment, Human Resources, InsurTech, SaaS, Software;Charlotte, North Carolina, United States, North America;Acadian Ventures, Connect Ventures, Emergence Capital, Joe Thomas, s16vc, Slack Fund;"
Emergence Capital";6;Series A;Feb;2;2021
Honeycomb;Cloud Data Services, Data Visualization, Developer Tools, DevOps, Information Technology, Software Engineering;San Francisco, California, United States, North America;Headline, Industry Ventures, Merian Ventures, NextWorld Capital, Scale Venture Partners, Storm Ventures;"
Headline";6;Series B;Feb;2;2021
Superb AI;Artificial Intelligence (AI), Computer Vision, Machine Learning, Natural Language Processing, SaaS;San Mateo, California, United States, North America;Atinum Partners, Duke Angel Network, KT Investment, Murex Partners, Premier Partners, Stonebridge Ventures;Atinum Partners;6;Series A;Feb;2;2021
Kountable Inc.;SaaS, Trading Platform;San Francisco, California, United States, North America;BootstrapLabs, Kirk Bradley, Lateral Frontiers, MS&AD Ventures, Position A Partners;Lateral Frontiers;5;Series A;Feb;2;2021
SecurityAdvisor;Cloud Security, Cyber Security, SaaS;Sunnyvale, California, United States, North America;ClearSky, Crosslink Capital, Cyber Mentor Fund, SixThirty;ClearSky;4;Series A;Feb;2;2021
WorkStep;Human Resources, Information Technology, SaaS, Small and Medium Businesses;San Francisco, California, United States, North America;FirstMark, Prologis Ventures;FirstMark;2;Series A;Feb;3;2021
Scratchpad;CRM, Information Technology, Productivity Tools, SaaS, Sales, Sales Automation, Software;San Francisco, California, United States, North America;Accel, Bossa Invest, Craft Ventures;Craft Ventures;3;Series A;Feb;3;2021
Vendia;Artificial Intelligence (AI), Blockchain, Cloud Infrastructure, Data Governance, Data Integration, Data Management, Generative AI, PaaS, SaaS, Software;San Francisco, California, United States, North America;BMW i Ventures, Canvas Prime, Correlation Ventures, Firebolt Ventures, Floodgate, Future Perfect Ventures, Hummer Winblad Venture Partners, Neythri Futures Fund, Noam Kaiser, Operator Partners, Sorenson Ventures, Swaroop Kolluri, WestWave Capital;Canvas Prime;13;Series A;Feb;3;2021
Rocket.Chat;Developer Platform, Developer Tools, Enterprise Software, Messaging, Software;Wilmington, Delaware, United States, North America;DGF, e.ventures, Graphene Ventures, Greycroft, Headline, MONASHEES, New Enterprise Associates, ONEVC, OSS Capital L.P., Valor Capital Group;Greycroft, MONASHEES, Valor Capital Group;10;Series A;Feb;3;2021
Reverie Labs;Artificial Intelligence (AI), Bioinformatics, Biotechnology, Machine Learning, Pharmaceutical;Cambridge, Massachusetts, United States, North America;Bossa Invest, Duro Ventures, First Round Capital, Neo, Ridgeback Capital, Wormhole Capital, Y Combinator;Ridgeback Capital;7;Series A;Feb;3;2021
Flywheel.io;Analytics, Cloud Data Services, Cloud Management, Data Management, Software;Minneapolis, Minnesota, United States, North America;8VC, Argonautic Ventures, Beringea, dRx Capital, Great North Ventures, Hewlett Packard Enterprise, iSelect;8VC, Beringea;7;Series B;Feb;3;2021
Deepgram;Artificial Intelligence (AI), Data Collection and Labeling, Developer APIs, Natural Language Processing, Speech Recognition;San Francisco, California, United States, North America;Bossa Invest, Citi Ventures, SAP.iO, Tiger Global Management, Wing Venture Capital;Tiger Global Management;5;Series B;Feb;3;2021
Slync.io;Business Intelligence, Data Integration, Developer Platform, Sales Automation, Software;"
Dallas, Texas, United States, North America";235 Capital Partners, ACME Capital, Correlation Ventures, Goldman Sachs Growth Equity;"
Goldman Sachs Growth Equity";4;Series B;Feb;4;2021
Ushur;Artificial Intelligence (AI), Cloud Management, Machine Learning, Natural Language Processing, SaaS;Santa Clara, California, United States, North America;Aflac Global Ventures, Iron Pillar;Iron Pillar;2;Series B;feb;9;2021
Monte Carlo;Analytics, Enterprise Software, Information Technology, SaaS;San Francisco, California, United States, North America;Accel, Notable Capital, Redpoint;Notable Capital, Redpoint;3;Series B;Feb;9;2021
Prefect;Artificial Intelligence (AI), Big Data, Cloud Data Services, Cloud Infrastructure, Data Integration, Data Management, Developer APIs, Developer Tools, Open Source, Software;Washington, District of Columbia, United States, North America;Anthony Goldbloom, Atreides Management, Daniel Gross, Nat Friedman, Operator Partners, Positive Sum, Rachel Zoe Ventures, Sam Teller;Positive Sum;8;Series A;Feb;9;2021
fabric;B2B, B2C, E-Commerce, E-Commerce Platforms, Retail Technology, SaaS, Wholesale;Seattle, Washington, United States, North America;Norwest, Redpoint, Sierra Ventures;Norwest;3;Series A;Feb;9;2021
Nobl9;Cloud Computing, DevOps, Information Technology, Software;Waltham, Massachusetts, United States, North America;Battery Ventures, Bonfire Ventures, CRV, Harmony Partners, Resolute Ventures, Sorenson Ventures;Battery Ventures;6;Series B;Feb;10;2021
Vivun;"
Artificial Intelligence (AI), B2B, CRM, Enterprise Software, Machine Learning, Sales, Sales Automation, Software";Oakland, California, United States, North America;Accel, Atlassian Ventures, Menlo Ventures, Salesforce Ventures, Unusual Ventures;Menlo Ventures;5;Series B;Feb;10;2021
Immunai;Analytics, Artificial Intelligence (AI), Biotechnology, Machine Learning, Therapeutics;New York, New York, United States, North America;Catalio Capital Management, Charles and Lynn Schusterman Family Philanthropies, Dexcel Pharma, Duquesne Family Office, Meron Capital, TLV Partners, Viola Group;Catalio Capital Management, Charles and Lynn Schusterman Family Philanthropies, Dexcel Pharma, Duquesne Family Office;7;Series A;Feb;11;2021
Spacelift;Cloud Data Services, Information Technology, SaaS, Software;Redwood City, California, United States, North America;Blossom Capital, Hoxton Ventures, Inovo.vc;Blossom Capital;3;Series A;Feb;11;2021
Scalarr;Analytics, Artificial Intelligence (AI), Big Data, Cyber Security, Fraud Detection, Machine Learning, Mobile Advertising, Security, Software;Dover, Delaware, United States, North America;EBRD Venture Capital, OTB Ventures, Speedinvest, TMT Investments;EBRD Venture Capital;4;Series A;Feb;11;2021
Rheaply;Enterprise Software, Recycling, Sharing Economy, Software, Sustainability;Chicago, Illinois, United States, North America;100 Black Angels & Allies Fund, Bradley Horowitz, Concrete Rose Capital, High Alpha, HPA (Hyde Park Angels), Inclusive Ventures Lab, M25, MCJ, Revolution’s Rise of the Rest Seed Fund, Salesforce Ventures;High Alpha;10;Series A;Feb;16;2021
Krisp;B2B, B2C, Enterprise Software, Information Technology, Productivity Tools, SaaS, Software;Berkeley, California, United States, North America;CM Ventures, RTP Global, s16vc, Storm Ventures, TechNexus Venture Collaborative;RTP Global;5;Series A;Feb;16;2021
Zomentum;Enterprise Software, Information Technology, Software;San Francisco, California, United States, North America;Accel, Eight Roads Ventures, Elevation Capital, Greenoaks;Accel, Elevation Capital;4;Series A;Feb;16;2021
Mainstay;Artificial Intelligence (AI), Chatbot, Education, Information Services, Machine Learning, Mobile Apps, Natural Language Processing, Virtual Assistant;Boston, Massachusetts, United States, North America;Eastward Capital Partners, ECMC, Kresge Foundation, Rethink Education;Rethink Education;4;Series B;Feb;16;2021
